code_job,job
0111,의회 의원?고위 공무원 및 공공단체 임원
0112,기업 고위 임원
0121,행정 및 경영 지원 관리자
0122,마케팅 및 광고?홍보 관리자
0131,연구?교육 및 법률 관련 관리자
0132,보험 및 금융 관리자
0133,보건 및 사회복지 관련 관리자
0134,문화?예술 관련 관리자
0135,정보 통신 관련 관리자
0139,기타 전문 서비스 관리자
0141,건설?전기 및 생산 관련 관리자
0149,기타 건설?전기 및 생산 관련 관리자
0151,판매 및 운송 관리자
0152,고객 서비스 관리자
0153,환경?청소 및 경비 관련 관리자
0159,기타 판매 및 고객 서비스 관리자
0211,생명 및 자연과학 관련 전문가
0212,인문 및 사회과학 전문가
0213,생명 및 자연과학 관련 시험원
0221,컴퓨터 하드웨어 및 통신공학 전문가
0222,컴퓨터 시스템 및 소프트웨어 전문가
0223,데이터 및 네트워크 관련 전문가
0224,정보 시스템 및 웹 운영자
0225,통신 및 방송 송출 장비 기사
0231,건축?토목 공학 기술자 및 시험원
0232,화학공학 기술자 및 시험원
0233,금속?재료 공학 기술자 및 시험원
0234,전기?전자공학 기술자 및 시험원
0235,기계?로봇공학 기술자 및 시험원
0236,소방?방재 기술자 및 안전 관리원
0237,환경공학?가스·에너지 기술자 및 시험원
0238,항공기?선박 기관사 및 관제사
0239,기타 공학 전문가 및 관련 종사자
0241,의료 진료 전문가
0242,약사 및 한약사
0243,간호사
0244,영양사
0245,치료?재활사 및 의료기사
0246,보건 의료 관련 종사자
0247,사회복지 관련 종사자
0248,종교 관련 종사자
0251,대학교수 및 강사
0252,학교 교사
0253,유치원 교사
0254,문리?기술 및 예능 강사
0259,기타 교육 전문가
0261,법률 전문가
0262,행정 전문가
0271,인사 및 경영 전문가
0272,금융 및 보험 전문가
0273,상품 기획?홍보 및 조사 전문가
0274,감정?기술영업및중개관련종사자 
0281,작가 및 언론 관련 전문가
0282,학예사?사서 및 기록물 관리사
0283,연극?영화 및 영상 전문가
0284,시각 및 공연 예술가
0285,디자이너
0286,스포츠 및 레크리에이션 관련 전문가
0287,식문화 관련 전문가
0288,문화?예술 관련 기획자 및 매니저
0311,행정 사무원
0312,경영 관련 사무원
0313,회계 및 경리 사무원
0314,비서 및 사무 보조원
0320,금융 사무 종사자
0330,법률 및 감사 사무 종사자
0391,통계 관련 사무원
0392,여행?안내 및 접수 사무원
0399,고객 상담 및 기타 사무원
0411,경찰?소방 및 교도 관련 종사자
0412,경호 및 보안 관련 종사자
0421,돌봄 및 보건 서비스 종사자
0422,미용 관련 서비스 종사자
0423,혼례 및 장례 종사자
0429,기타 돌봄?보건 및 개인 생활 서비스 종사자
0431,운송 서비스 종사자
0432,여가 서비스 종사자
0441,조리사
0442,식음료 서비스 종사자
0510,영업 종사자
0521,매장 판매 종사자
0522,상품 대여 종사자
0531,통신 관련 판매직
0532,방문 및 노점 판매 관련직
0611,작물 재배 종사자
0612,원예 및 조경 종사자
0613,축산 및 사육 관련 종사자
0620,임업 관련 종사자
0630,어업 관련 종사자
0710,식품가공 관련 기능 종사자
0721,섬유 및 가죽 관련 기능 종사자
0722,의복제조관련기능종사자 
0730,목재?가구?악기 및 간판 관련 기능 종사자
0741,금형?주조 및 단조원
0742,제관원 및 판금원
0743,용접원
0751,자동차 정비원
0752,운송장비정비원 
0753,기계장비 설치 및 정비원
0761,전기?전자기기 설치 및 수리원
0762,전기공
0771,정보 통신기기 설치 및 수리원
0772,방송?통신장비 관련 설치 및 수리원
0781,건설구조관련기능종사자 
0782,건설관련기능종사자 
0783,건축 마감 관련 기능 종사자
0784,채굴 및 토목 관련 기능 종사자
0791,공예 및 귀금속 세공원
0792,배관공
0799,기타 기능 관련 종사자
0811,식품가공 관련 기계 조작원
0812,음료제조관련기계조작원 
0819,기타 식품가공 관련 기계 조작원
0821,섬유 제조 및 가공기계 조작원
0822,직물?신발 관련 기계 조작원 및 조립원
0823,세탁 관련 기계 조작원
0831,석유 및 화학물 가공 장치 조작원
0832,화학?고무 및 플라스틱 제품 생산기 조작원
0841,주조 및 금속가공 관련 기계 조작원
0842,도장 및 도금기 조작원
0843,비금속제품 생산기 조작원
0851,금속 공작 기계 조작원
0852,냉난방 관련 설비 조작원
0853,자동 조립라인 및 산업용로봇 조작원
0854,운송차량 및 기계 관련 조립원
0855,금속기계 부품 조립원
0861,발전 및 배전장치 조작원
0862,전기 및 전자설비 조작원
0863,전기?전자 부품 및 제품 제조 장치 조작원
0864,전기?전자 부품 및 제품 조립원
0871,철도 및 전동차 기관사
0872,철도운송 관련 종사자
0873,자동차 운전원
0874,물품 이동 장비 조작원
0875,건설 및 채굴기계 운전원
0876,선박 승무원 및 관련 종사자
0881,상하수도 처리 장치 조작원
0882,재활용 처리 및 소각로 조작원
0891,목재 및 종이 관련 기계 조작원
0892,인쇄 및 사진 현상 관련 기계 조작원
0899,기타 기계 조작원
0910,건설 및 광업 단순 종사자
0921,하역 및 적재 단순 종사자
0922,배달원
0930,제조 관련 단순 종사자
0941,청소원 및 환경미화원
0942,건물 관리원 및 검표원
0951,가사 및 육아 도우미
0952,음식 관련 단순 종사자
0953,판매 관련 단순 종사자
0991,농림?어업 관련 단순 종사자
0992,계기?자판기 및 주차 관리 종사자
0999,기타 서비스 관련 단순 종사자
1001,장교
1002,부사관
1009,기타 군인
